product_id;product_name;product_url;image_url;category;ingredients;price;brand;Rating;good_reviews;bad_reviews;description
1323;DECL√âOR Luxury Size Neroli Shower Gel 400ml;https://www.lookfantastic.com/decleor-luxury-size-neroli-shower-gel-400ml/12137776.html;https://static.thcdn.com/images/large/original//productimg/1600/1600/11363395-8324817633335596.jpg;Body Wash;sodium coco-sulfate, cocamidopropyl betaine, glycerin, polyglyceryl-4 coco-caprylate, parfum, aloe barbadenis extract, citric acid, menthol, sodium hydroxide, citrus aurantium amara flower water, sodium chloride, geraniol, limonene, linalool, salicylic acid, sodium benzoate;17,5;DECLEOR;2;0;0;Treat yourself to a unique experience. This product is bound to rejuvenate your senses. Simple and effective.
1322;La Roche-Posay Lipikar Syndet AP(+) Shower Gel 400ml;https://www.lookfantastic.com/la-roche-posay-lipikar-syndet-ap-shower-gel-400ml/12021437.html;https://static.thcdn.com/images/large/original//productimg/1600/1600/12021437-1194875150223173.jpg;Body Wash;glycerin, sodium laureth sulfate, peg-200 hydrogenated glyceryl palmate, cocamidopropyl betaine, polysorbate-20, citric acid, peg-7 glyceryl cocoate, niacinamide, acrylates copolymer, butyrospermum parkii, cocamide mea, disodium edta, glycol distearate, mannose, polyquaternium-11, sodium benzoate, sodium chloride, sodium hydroxide, vitreoscilla ferment;16,5;La Roche-Posay;5;5;0; is an ultra-gentle face and body wash for the whole family, including children, babies and newborns.
1328;L'Or√©al Paris Men Expert Hydra Power Shower Gel 300ml;https://www.lookfantastic.com/l-oreal-paris-men-expert-hydra-power-shower-gel-300ml/11324332.html;https://static.thcdn.com/images/large/original//productimg/1600/1600/11324332-2114818372212364.jpg;Body Wash;sodium laureth sulfate, cocamidopropyl betaine, glycerin, sodium chloride, ci 60725, ci 60725, ci 42090, sodium benzoate, sodium hydroxide, ppg-5-ceteth-20, peg-150 distearate, salicylic acid, polyquaternium-7, linalool, pentylene glycol, mentha piperita extract, alpha-isomethyl ionone, parfum, disodium lauryl sulfosuccinate, citric acid, coumarin, hexyl cinnamal, styrene/acrylates;2,99;L'oreal Paris;5;2;0;Freshen up with the 
1332;L'Or√©al Paris Men Expert Clean Power Shower Gel 300ml;https://www.lookfantastic.com/l-oreal-paris-men-expert-clean-power-shower-gel-300ml/11324337.html;https://static.thcdn.com/images/large/original//productimg/1600/1600/11324337-2074818372437931.jpg;Body Wash;sodium laureth sulfate, glycerin, sodium chloride, cocamidopropyl betaine, parfum, ci 19140, ci 42090, sodium benzoate, sodium acetate, sodium hydroxide, ppg-5-ceteth-20, polyquaternium-10, salicylic acid, limonene, linalool, pentylene glycol, mentha piperita extract, isopropyl alcohol, geraniol, citrus limon juice extract, citrus limon juice extract, citronellol, citric acid;2,99;L'oreal Paris;5;2;0;Invigorate your senses with 
1338;Aveeno Baby Daily Care Hair & Body Wash 500ml;https://www.lookfantastic.com/aveeno-baby-daily-care-hair-body-wash-500ml/11984361.html;https://static.thcdn.com/images/large/original//productimg/1600/1600/11363395-8324817633335596.jpg;Body Wash;coco-glucoside, cocamidopropyl betaine, avena sativa kernel extract, avena sativa kernel extract, glycerin, glyceryl oleate, hydrogenated palm glycerides citrate, p-anisic acid, acrylates/c10-30 alkyl, sodium chloride, citric acid, sodium hydroxide, tocopherol, phenoxyethanol, sodium benzoate, parfum;7,99;Avene;2;0;0;Treat yourself to a unique experience. This product is bound to rejuvenate your senses. Simple and effective.
1347;REN Moroccan Rose Otto Body Wash;https://www.lookfantastic.com/ren-clean-skincare-moroccan-rose-otto-body-wash-200ml/10362572.html;https://static.thcdn.com/images/large/original//productimg/1600/1600/11363395-8324817633335596.jpg;Body Wash;rosa damascena, glycerin, decyl glucoside, cocamidopropyl betaine, xanthan gum, polysorbate-20, panthenol, sodium lauroyl, phenoxyethanol, sodium hydroxymethylglycinate, citrus grandis, lactic acid, rosa damascena, cymbopogon martini oil, pelargonium graveolens extract, eugenia, myroxylon pereirae (balsam peru) oil, linalool, geraniol, citronellol;20;REN Clean Skincare;2;0;0;Treat yourself to a unique experience. This product is bound to rejuvenate your senses. Simple and effective.
1348;L'Or√©al Paris Men Expert Hydra Energetic Shower Gel 300ml;https://www.lookfantastic.com/l-oreal-paris-men-expert-hydra-energetic-shower-gel-300ml/11324333.html;https://static.thcdn.com/images/large/original/productimg/1600/1600/11324333-1244666468665015.jpg;Body Wash;sodium laureth sulfate, glycerin, sodium chloride, cocamidopropyl betaine, parfum, ci 19140, ci 16035, sodium benzoate, sodium acetate, sodium hydroxide, ppg-5-ceteth-20, pentylene glycol, mentha, mentha piperita extract, isopropyl alcohol, alpha-isomethyl ionone, citric acid, taurine;2,99;L'oreal Paris;5;2;0;Invigorate your skin from top to toe with the 
1355;DECL√âOR Luxury Size Lavender Shower Gel 400ml;https://www.lookfantastic.com/decleor-luxury-size-lavender-shower-gel-400ml/12137777.html;https://static.thcdn.com/images/large/original/productimg/1600/1600/12137777-1014693430403711.jpg;Body Wash;sodium coco-sulfate, polyglyceryl-4 coco-caprylate, cocamidopropyl betaine, glycerin, aloe barbadenis extract, citric acid, sodium hydroxide, lavandula angustifolia, sodium chloride, citronellol, limonene, linalool, salicylic acid, sodium benzoate, parfum;17,5;DECLEOR;5;1;0;Experience a calming cleanse with the†
1357;REN Clean Skincare Atlantic Kelp and Magnesium Anti-Fatigue Body Wash 300ml - Ocean Plastic;https://www.lookfantastic.com/ren-clean-skincare-atlantic-kelp-and-magnesium-anti-fatigue-body-wash-300ml-ocean-plastic/11919966.html;https://static.thcdn.com/images/large/original//productimg/1600/1600/11919966-1194866377025321.jpg;Body Wash;cocamidopropyl betaine, disodium cocoamphodiacetate, lauryl glucoside, decyl glucoside, sodium chloride, glycerin, glyceryl laurate, inulin, magnesium pca, rosmarinus officinalis extract, pelargonium graveolens extract, salvia sclarea, coconut acid, cupressus sempervirens fruit extract, panthenol, parfum, sodium benzoate, potassium sorbate, laminaria digitata extract, citric acid, sucrose, sodium levulinate, plankton extract, lecithin, citronellol, geraniol, limonene, linalool;22;REN Clean Skincare;5;5;0;Refresh sluggish skin with 
1365;DECL√âOR Luxury Size Rose Shower Gel 400ml;https://www.lookfantastic.com/decleor-luxury-size-rose-shower-gel-400ml/12137778.html;https://static.thcdn.com/images/large/original/productimg/1600/1600/12137778-3504692478290522.jpg;Body Wash;sodium coco-sulfate, cocamidopropyl betaine, glycerin, polyglyceryl-4 coco-caprylate, aloe barbadenis extract, citric acid, sodium hydroxide, rosa damascena, sodium chloride, citral, citronellol, geraniol, salicylic acid, sodium benzoate, parfum;17,5;DECLEOR;5;0;0;Experience a soothing cleanse with the luxury-sized
